text,positivity,formality,uniqueness
love leads to laughter love leads to pain with you by my side i feel good times again never have i felt these feelings before you showed me the world how could i ask for more and although there is confusion we will find a solution to keep my heart close to you and i know yes i know if you hold me believe me i will never never ever leave and i know there is nothing that i would not do for you forever be true and i know although times can be hard we will see it through i am forever in love with you show me affection in all different ways give you my heart for the rest of my days with you all my troubles are left far behind like heaven on earth when i look in your eyes and although there is confusion we will find a solution to keep my heart close to you and i know yes i know if you hold me believe me i will never never ever leave and i know there is nothing that i would not do for you forever be true and i know although times can be hard we will see it through i am forever in love with you no need to cry i will be right by your side let us take our time love will not run dry if you hold me believe me i will never never ever leave and i know there is nothing that i would not do for you forever be true and i know although times can be hard we will see it through i am forever in love and i know there is nothing that i would not do for you forever be true and i know oh i know although times can be hard we will see it through i am forever in love with you,0.8930075354874134,-0.21546891331672668,0.6641096323728561
just one on one that is the way we do it baby i cannot always say what is on my mind yeah new sensations got me mark breaking out the love i feel inside yeah i will take you to a wonderland you hit me right between the eyes i shoulda listen to ma mamma done told me you sent me soaring to the skies is not gonna listen to ma mamma done told me girl this paradise is ours the planet moon and stars believe in me baby believe in me baby be the first to believe baby elevate our love into the skies yeah cool vibrations rock me fly me up to heaven in your eyes yeah its magic when you hypnotise repeat bridge you hit me right between the eyes girl this paradise is ours the planet moon and stars believe in me baby believe in me baby believe in me baby believe in me baby just one on one that is the way we do it just one on one that is the way we do it girl this paradise is ours the planet moon and stars believe in me baby just one on one believe in me baby just one on one ooooh just one on one ooooh believe in me baby,0.8094340711832047,-0.21095699071884155,0.4728661775588989
summertime of our lives summertime of our lives our lives hey girl the feeling is right you have gotta get out in the sunlight hot sand holding your hand you keep me jammin in the morning til the moonlight we will have the time of our lives in our wonderworld time of our lives there is a boy for every girl come one summertime of our lives our lives summertime of our lives our lives cool breeze kissin the sea i have got a sunbeam shining on me blue skies sea in your eyes let the groove move my people all around me we will have the time of our lives in our wonderworld time of our lives there is a boy for every girl come on summertime of our lives our lives summertime of our lives our lives summertime summertime sugar candy cherry world summertime summertime there is a boy for every girl summertime summertime sugar candy cherry world summertime summertime summertime summertime summertime summertime we will have the time of our lives in our wonderworld time of our lives come one summertime of our lives our lives summertime of our lives our lives baby get ready get down are you up for it get down with it baby get ready get down are you up for it get down with it baby get ready get down are you up for it get down with it baby get ready get down down down summertime of our lives our lives summertime of our lives our lives,0.6028385162353516,-0.16430169343948364,0.4742666780948639
could you love a boy like me tonite come on baby will not you take a bite could you love a boy like me tonite oh yeah there is magic within you there is magic in everything you do magic me to the place where dreams come true sometimes i go crazy i get off on the crazy things you do i am jealous of every guy that looks at you so tell me could you love a boy like me like me tell me could you love a boy like me because i need you you are my heart and soul and i am gonna let you know is not gonna let you go ready or not here i come you cannot hide from me hide and seek run away now or stay now cos i will keep searching i will keep searching for love could you love a boy like me tonite come on baby will not you take a bite the game that you are playing why do you tease me like you do you gotta let me down or see it through you are straight from a movie but baby i am not from hollywood by stealing your heart i will be your robin hood tell me could you love a boy like me like me tell me could you love a boy like me because i need you you are my heart and soul and i am gonna let you know is not gonna let you go ready or not here i come you cannot hide from me hide and seek run away now or stay now cos i will keep searching i will keep searching baby ready or not here i come you cannot hide from me hide and seek run away now or stay now cos i will keep searching i will keep searching for love baby  you cannot hide the love inside searching for love baby  you cannot hide the love inside could you love a boy like me like me tell me could you love a boy like me because i need you you are my heart and soul and i am gonna let you know i will never let you go oh no ready or not here i come you cannot hide from me hide and seek run away now or stay now cos i will keep searching i will keep searching baby ready or not here i come you cannot hide from me hide and seek run away now or stay now cos i will keep searching i will keep searching for love could you love a boy like me tonite come on baby will not you take a bite could you love a boy like me tonite oh yeah,0.5801801532506943,-0.4355967044830322,0.5336972326040268
lately i am not who i used to be someones come and taken me where i do not wanna go if i knew exactly what i have to do in order to be there for you when you were feeling low and all the things we ever wanted were once yours and mine now i know we can revive it all the love we left everytime i kiss i feel your lips and everytime i cry i see your smile and everytime i close my eyes i realise that everytime i hold your hand in mine the sweetest thing my heart could ever find and i have never felt this way since the day i gave your love away save me i have fallen from my destiny you and i were meant to be i have thrown it all away now you are gone it is time for me to carry on but baby i just cannot go on without you by my side and all the things we ever wanted were once yours and mine now i know we can revive it all the love we left everytime i kiss i feel your lips and everytime i cry i see your smile and everytime i close my eyes i realise that everytime i hold your hand in mine the sweetest thing my heart could ever find and i have never felt this way since the day i gave your love away we can survive it all the pain we feel inside you relied on me and now i have let you down now i promise you forever i will be the best i can now i know we can revive it all the love we left everytime i kiss i feel your lips and everytime i cry i see your smile and everytime i close my eyes i realise that everytime i hold your hand in mine the sweetest thing my heart could ever find and i have never felt this way since i gave your love away everytime i kiss i feel your lips and everytime i cry i see your smile and everytime i close my eyes i realise that everytime i hold your hand in mine the sweetest thing my heart could ever find and i have never felt this way since the day i gave your love away,0.2518741488456726,0.1426929235458374,0.2785032093524933
i said i would never leave you i said that i would never let you down i needed a chance to prove my love to you til time is through the promises i gave you i never meant to see them left untrue you were my everything i give my heart to you  to start a new and all of the days just pass me by so i pray and i am asking why all that i ask is one more try cos i never wanna say goodbye if only i listened to my heart then maybe we would not be apart now all i can dream about is you and baby that is all i do if only we two could start a new i promise i would never be untrue cos all i can dream about is you and baby that is all i do you are looking for another i am looking for a chance with you again i guess i never showed you what you mean to me cannot you see everything i told you and everything i did i feel was wrong i did not know the words i said would make you leave please believe and all of the days just pass me by so i pray and i am asking why all that i ask is one more try cos i never wanna say goodbye if only i listened to my heart then maybe we would not be apart now all i can dream about is you and baby that is all i do if only we two could start a new i promise i would never be untrue cos all i can dream about is you and baby that is all i do if only if only if only all i do if only if only if only all i do x 2 if only i would listened to my heart then maybe we would not be apart now all i can dream about is you and baby that is all i do if only i listened to my heart then maybe we would not be apart now all i can dream about is you and baby that is all i do if only we two could start a new i promise i would never be untrue cos all i can dream about is you and baby that is all i do if only i listened to my heart then maybe we would not be apart now all i can dream about is you and baby that is all i do if only we two could start a new i promise i would never be untrue cos all i can dream about is you and baby that is all i do,0.03093498945236206,-0.1336895227432251,0.41761717200279236
hey you looking around at your friends you see something about them has changed and nothings clear they are not the same do not you take it to heart all the same you will see it works out better that way do not be afraid to shout your name do what you gotta do the worls is waiting for you there is not nothing to lose everybody today everything is ok come together and say it is alright it is alright you do not have to stop the way you are feeling cos you have got time to get it right let your mind know where it is leading it is alright it is alright it is alright it is alright hey you just be the best you can be you will see the best things in life come for free now it is all clear no cloudy day if you follow your heart and believe you will be excited by what you will achieve do not be afraid to find a way oh do what you gotta do the worls is waiting for you there is not nothing to lose everybody today if he thinks it is ok come together and say do what you gotta do the worls is waiting for you there is not nothing to lose everybody today if he thinks it is ok come together and say,0.7792494595050812,-0.22432616353034973,0.4410361647605896
and as i look into your eyes i see an angel in disguise sent from god above for me to love to hold and idolise and as i hold your body near i will see this month through to a year and then forever on til life is gone i will keep your loving near and now i have finally found my way to lead me down this lonely road all i have to do is follow you to lighten off my load you treat me like a rose you give me room to grow you shone the light of love on me and gave me air so i can breathe you open doors that close in a world where anything goes you give me strength so i stand tall within this bed of earth just like a rose and when i feel like hope is gone you give me strength to carry on each time i look at you there is something new to keep our loving strong i hear you whisper in my ear all of the words i long to hear of how you will always be here next to me to wipe away my tears and now i have finally found my way to lead me down this lonely road all i have to do is follow you to lighten off my load you treat me like a rose you give me room to grow you shone the light of love on me and gave me air so i can breathe you opened doors i closed in a world where anything goes you give me strength so i stand tall within this bed of earth just like a rose and though the seasons change our love remains the same you face the thunder when the sunshine turns to rain just like a rose you treat me like a rose you give me room to grow you shone the light of love on me and gave me air so i can breathe you opened doors i closed in a world where anything goes you give me strength so i stand tall within this bed of earth just like a rose you give me strength so i stand tall within this bed of earth just like a rose,0.9190206341445446,0.0030048489570617676,0.5587647259235382
sitting by the window singing songs of love wishing you were here because the memorys not enough wear my mask in silence pretending i am alright if you could see then you would be here standing by my side it may be hard to believe but girl you are the only one i need it may be hard along the way it is this feeling i get when blue skies turn to grey feels like i am walking in the rain i find myself trying to wash away the pain cause i need you to give me some shelter cause i am fading away and baby i am walking in the rain every single hour of every single day i need to cry my eyes are dry i have cried my tears away cannot help but remember how you made me feel you dressed my soul and made me whole you made my life complete it may be hard to believe but girl you are the only one i need it may be hard along the way it is this feeling i get when blue skies turn to grey feels like i am walking in the rain i find myself trying to wash away the pain cause i need you to give me some shelter cause i am fading away and baby i am walking in the rain of all we have said and done remains the memories of days when life was fun but now when you are gone i sit alone to watch the setting of the sun feels like i am walking in the rain i find myself trying to wash away the pain cause i need you to give me some shelter cause i am fading away and baby i am walking in the rain i said baby i am walking in the rain,-0.7738719061017036,-0.18621042370796204,0.5687134265899658
in this life of uncertainty there are people that we all need someone to face you with no disguise in you theres a remedy that makes everyday seem trouble free no distance and no device cos you hear the words when no one understands when my world has come undone and i have lost my setting sun when all i see are clouds you are still around when i fall into a tear inspirations disappear you clear away that doubt cos you are still you are still around now i have stumbled on uncertainty never thought this could ever be no contradictions left inside when i feel the rain come my way you give me sun you are my brighter day intuitions telling me to stay cos you hold the words when nothings left to say in this life of uncertainty there are people that we all need someone to face you with no disguise in you theres a remedy that makes everyday seem trouble free no distance and no device cos you hold the words when nothings left to say,0.2250117063522339,-0.3823733925819397,0.4872395992279053
the sun went down so long ago i watched you cry i had to go forever only lasted just a day and now without you by myside the visions of a lonely life take me to a dream in a place so far away i see an angel and i think of you i watch her hide behind a smile and then i think of what i have to do if only i had listened for a while i still believe i still believe a love so strong will carry on you know there is so much to be seen i still believe i still believe it is not the end let us start again i still believe the emptiness of what could be shows everything you mean to me it started out a game i would never played if i defy the foolish pride and find that place so deep inside take me to my dream i know i have to stay i see a rainbow and i think of you of what we had of what we were and then i think of what i have to do if only i had listened for a while i still believe i still believe a love so strong will carry on you know there is so much to be seen i still believe i still believe it is not the end let us start again i still believe everybodys always asking me why why i did what i did to make you cry please believe me when i say what i say i did not mean to go away at the time i could not stay i see an angel and she sees me too and as she wipes a teary eye i know exactly what i have to do to start a new beginning in my life i still believe i still believe a love so strong will carry on you know there is so much to be seen i still believe i still believe it is not the end let us start again i still believe you know i still believe it is not the end let us start again i still believe,0.23368722200393677,-0.03786277770996094,0.5398471504449844
